Year,Round,Match Info,Date Time,Countries,Scores by Quarter,Final Score
2023,classification,"Men's Placement Match 13/14
OFFICIAL",7/24/2023 21:30,Kazakhstan vs Argentina,1 5 1 1 3 3 2 2,"7
11"
2023,classification,"Men's Classification 9-12 Match 33
OFFICIAL",7/24/2023 23:00,Canada vs Croatia,2 3 1 3 1 5 1 2,"5
13"
2023,classification,"Men's Classification 9-12 Match 34
OFFICIAL",7/25/2023 0:30,Australia vs Japan,5 3 4 7 4 3 3 2,"16
15"
2023,classification,"Men's Placement Match 11/12
OFFICIAL",7/26/2023 20:00,Canada vs Japan,3 6 3 6 2 8 3 3,"11
23"
2023,classification,"Men's Placement Match 9/10
OFFICIAL",7/26/2023 21:30,Croatia vs Australia,3 2 5 4 6 2 3 2,"17
10"
2023,classification,"Men's Classification 5-8 Match 41
OFFICIAL",7/27/2023 1:00,Montenegro vs Italy,1 1 1 3 2 3 2 3,"6
10"
2023,classification,"Men's Classification 5-8 Match 42
OFFICIAL",7/27/2023 2:30,United States of America vs France,3 1 3 3 5 4 2 5,"16
18"
2023,classification,"Men's Placement Match 7/8
OFFICIAL",7/28/2023 22:30,Montenegro vs United States of America,3 3 4 4 3 3 2 2,"15
17"
2023,classification,"Men's Placement Match 5/6
OFFICIAL",7/29/2023 3:30,Italy vs France,1 2 3 2 7 3 5 2,"16
9"
2023,round-of-16,"Men's Preliminary Round II Match 27
OFFICIAL",7/23/2023 1:00,United States of America vs Canada,3 1 3 4 2 1 5 4,"13
10"
2023,round-of-16,"Men's Preliminary Round II Match 28
OFFICIAL",7/23/2023 2:30,Australia vs France,0 4 5 2 2 4 1 1,"8
11"
2023,round-of-16,"Men's Preliminary Round II Match 29
OFFICIAL",7/23/2023 4:00,Croatia vs Montenegro,3 2 0 3 5 4 4 4,"12
13"
2023,round-of-16,"Men's Preliminary Round II Match 30
OFFICIAL",7/23/2023 5:30,Japan vs Serbia,3 3 2 3 2 7 3 3,"10
16"
2023,group-a,"Men's Preliminary Round I - Group A Match 1
OFFICIAL",7/16/2023 20:00,Kazakhstan vs United States of America,1 5 4 4 0 4 0 5,"5
18"
2023,group-a,"Men's Preliminary Round I - Group A Match 2
OFFICIAL",7/16/2023 21:30,Australia vs Greece,2 2 1 3 3 3 3 5,"9
13"
2023,group-a,"Men's Preliminary Round I - Group A Match 15
OFFICIAL",7/19/2023 4:30,Greece vs Kazakhstan,6 1 5 0 4 1 3 0,"18
2"
2023,group-a,"Men's Preliminary Round I - Group A Match 16
OFFICIAL",7/19/2023 7:30,United States of America vs Australia,3 4 3 2 4 1 6 1,"16
8"
2023,group-a,"Men's Preliminary Round I - Group A Match 21
OFFICIAL",7/21/2023 0:30,United States of America vs Greece,3 3 6 1 2 4 3 7,"14
15"
2023,group-a,"Men's Preliminary Round I - Group A Match 22
OFFICIAL",7/21/2023 3:00,Australia vs Kazakhstan,7 2 3 0 4 2 8 2,"22
6"
2023,group-b,"Men's Preliminary Round I - Group B Match 3
OFFICIAL",7/16/2023 23:00,Canada vs People's Republic of China,4 0 3 6 4 4 2 0,"13
10"
2023,group-b,"Men's Preliminary Round I - Group B Match 4
OFFICIAL",7/17/2023 0:30,France vs Italy,3 2 2 3 0 3 1 5,"6
13"
2023,group-b,"Men's Preliminary Round I - Group B Match 9
OFFICIAL",7/18/2023 20:00,Italy vs Canada,6 0 4 2 8 4 6 0,"24
6"
2023,group-b,"Men's Preliminary Round I - Group B Match 10
OFFICIAL",7/18/2023 21:30,People's Republic of China vs France,1 4 4 6 0 4 3 3,"8
17"
2023,group-b,"Men's Preliminary Round I - Group B Match 23
OFFICIAL",7/21/2023 4:30,People's Republic of China vs Italy,2 2 1 7 2 6 0 3,"5
18"
2023,group-b,"Men's Preliminary Round I - Group B Match 24
OFFICIAL",7/21/2023 7:30,France vs Canada,5 4 5 3 3 2 2 2,"15
11"
2023,group-c,"Men's Preliminary Round I - Group C Match 5
OFFICIAL",7/17/2023 3:00,Argentina vs Croatia,2 8 1 4 0 7 2 5,"5
24"
2023,group-c,"Men's Preliminary Round I - Group C Match 6
OFFICIAL",7/17/2023 6:00,Hungary vs Japan,4 4 3 2 3 1 6 1,"16
8"
2023,group-c,"Men's Preliminary Round I - Group C Match 12
OFFICIAL",7/18/2023 23:00,Croatia vs Hungary,1 3 2 2 3 3 4 4,"10
12"
2023,group-c,"Men's Preliminary Round I - Group C Match 11
OFFICIAL",7/19/2023 6:00,Japan vs Argentina,6 1 4 2 4 2 6 4,"20
9"
2023,group-c,"Men's Preliminary Round I - Group C Match 18
OFFICIAL",7/20/2023 20:00,Hungary vs Argentina,7 1 5 4 4 4 5 4,"21
13"
2023,group-c,"Men's Preliminary Round I - Group C Match 17
OFFICIAL",7/21/2023 6:00,Croatia vs Japan,4 3 3 3 8 3 2 3,"17
12"
